Title, Meaning, Context, Notes
DFO,Director of Field Operations,,
DFS,Distributed File System,,
DGB,Data Governance Board,,
DGC,Data Governance Council,,
DHCP,Decentralized Hospital Computer Program,,
DHCP,Dynamic Host Control Protocol,,
DHHS,Department of Health and Human Services,,
DHIMS,Defense Health Information Management System,,
DHMSM,DoD Health(care) Management System Modernization,,
DHPO,Distance Health Program Office,,
DHT,Dobhoff tube,,
DIACAP,DoD Information Assurance Certification and Accreditation Process,,
DIB,Data Integrity Board,,
DIC,Dependency and Indemnity Compensation,,
DIC,Dependency Indemnity Claims,,
DICOM,Digital Imaging and Communications in Medicine,,
DID,Data Item Description,,
DI,Diabetes insipidus,,
DIGA,Diabetic Intensive Group Appointment,,
DIGMA,Drop-In Group Medical Appointment,,
DIMA,Disability ???,appeals,
DIMHRS,Defense Integrated Military Human Resources System,,
DIRT,DIAGNOSTIC IMAGING RADIOLOGICAL IMAGING,,
DISA,Defense Information Systems Administration,,
DISA,Defense Information Systems Agency,,
DIT,Development Integration Testing,,
DIT,Domain Implementation Team,,
DIV,Data and Information View,,
DJD,Degenerative Joint Disease,,
DKA,Diabetic Ketoacidosis,,
DL,Distribution List,,
D/L,Download,,
DLL,dynamic link library,,
DLO,Designated Learning Officer,,
DMA,Department of Memorial Affairs,,
DMA,Disability and Medical Assessment,,
DMC,Debt Management Center,,
DMDC,Defense Manpower Data Center,,
DM,Diabetes,,
DM,Diabetes Melitis,,
DM,Diversity Management,,
DMED,Defense Medical Epidemiology Database,,
DME,"Development, Maintenance, and Enhancement",,
DME,"Development, Modernization, and Enhancement",,
DME,Diabetic Macular Edema,,
DME,Durable Medical Equipment,,
DMI,Data Migration Initiative,,
DMII,Diabetes Mellitus Type 2,,
DMIM,Defense Medical Information Management,,
DMIM,Domain Message Information Model,,
DMIX,Defense Medical Information Exchange,,
DMLSS,Defense Medical Logistics Standard Support,,
DMLT,Division Leadership and Management Training (DMLT),,
DMMSC,Defense Medical Systems Support Center,,
DMMS,Decentralized Medical Management System,,
DMO,Data Management Organization,,
DMO,Directives Management Officer,,
DMRIS,Defense Medical Regulating Information System,,
DMS,Document Management System,,
DMSS,Defense Medical Surveillance System,,
DMU,Dataless Management Utility,,
DMV,Department of Motor Vehicles,,
DMZ,Demilitarized Zone,,
DNBI,Lowest Disease to Non-Battle Injury,,
DNR,Do Not Respond,,
DNR,Do Not Resuscitate,,
DNS,Deviated Nasal Septum,,
DNS,Domain Name Server or Domain Name System,,
DNVF,Distal NeuroVascular Function,,
DNVFI,Distal NeuroVascular Function Intact,,
DOA,Date of Access,,
DOB,Date of Birth,,
DOBI,Department of Defense Instruction,,
DOC,Date of Claim,,
DOC,Department Operations Council,,
DODAF,Department of Defense Architecture Framework,,
DoD,Department of Defense,,
DO,Delivery Order,,
DOE,Department of Energy,,
DOE,Dyspnea on Exertion,,
DOEHDR,Defense Occupational Exposure Health Data Repository,,
DOJ,Department of Justice,,
DOLAP,Desktop On-Line Analytical Processing,,
DOL,Department of Labor,,
DOMP,Delivery Order Management Plan,,
DOORS,Distribution of Operational Resources System,,
DOORS,Dynamic Object Oriented Requirements System,,
DORS,Department Of Rehabilitation Service,,
DoS,Denial-of-Service,,
DOT,Department of Transportation,,
DPC,Drug Program Coordinator,,
DPDB,Division of Practitioner Data Banks,,
DPEO,Deputy Program Executive Officer,,
DPOA,Durable Power of Attorney,,
D&PPM,Drug & Pharmaceutical Products Management,,
DPRIS,Defense Personnel Records Image Retrieval System,claims processing,returns things in 10 minutes also verify PTSD
DPU,Discharge Placement Unit,,
DQA,Division of Quality Assurance,,
DQDB,Distributed Queue Dual Bus,,
DQM,Data Quality Monitoring,,
DQS,Data Quality Service,,
DR,Data Repository,,
DR,Disaster Response,,
DRE,Digital Rectal Exam,,
DRG,Diagnosis Related Group,,
DRM,Dental Record Manager,,
DRMO,Division Records Management Officer,,
DRMROL,Deployment Related Medical Record Online,,
DRO,Decision Review Officer,appeals,
DRP,Disaster Recovery Plan,,
DRR,Division of Research Resources,,
D-RRTP,Domiciliary Residential Rehabilitation and Treatment Programs,,
DRRTP,Domiciliary Residential Rehabilitation Treatment Program,,
DRS,Dispute Resolution Specialist,,
DRSG,Dressing,,
DRSG,"dressing, as in wound coverage",,
DS3,Disabled Soldier Support System,,
DS-ASC,Data Security - Assessment and Strengthening of Controls,,
DSCC,Documentation Standards and Conventions Committee,,
DSCMB,(DoD) Data Standards Configuration Management Board,,
DSCM,Data Standardization Configuration Management (Board),,
DSCU,Dementia Specialty Care Unit,,
DS,Data Standardization,,
DS,Delivery Services,,
DSI,Data Sharing Interface (Currently BHIE),,
D-SIDDOMS II,"Defense Medical Information Management/Systems Integration, Design, Development, Operations and Maintenance Services II (DoD related)",,
DSMB,Data Safety Monitoring Board,,
DSM,Diagnostic and Statistical Manual of Mental Disorders (DSM-III),,
DSM,Digital Standard Mumps,,
DSOB,Data Standardization Oversight Board,,
DSO,Decision Support Objects,,
DSO,Decision Support Office,,
DSOIRM,Designated Senior Official for IRM,,
DSS,Decision Support Systems,,
DSS,Demo Sites Subgroup,,
DSS,Document Storage Systems,,
DSS ROI,"Data Storage System, Inc Record of Information",,
DSTU,Data Standard for Trial Use,,
DSVT,Data Submission and Validation Tool,,
DTAC,Development Technology Advisory Committee,,
DTA,Data Transfer Agreement,,
DTA,Duty To Assist,,
DTAP,Disability Transition Assistance Program,,
DTC,Day Treatment Center,,
DTC,Development and Test Center,,
DTD,Document Type Definition,,
D/T,due to,,
DTE,Development and Test Environment,,
DT&E,Development Test & Evaluation,,
DTP,Data Transfer Program,,
DTS,Document Tracking System (OCIO controlled correspondence),,
DTV,Digital Television,,
DUNS,Data Universal Numbering System,,
DUR,Drug Utilization Review,,
DURSA,Data Use and Reciprocal Support Agreement,,
DUSB,Deputy Undersecretary for Benefits,,
DUSH,Deputy Under Secretary for Health,,
DUSHOM,Deputy Under Secretary for Health for Operations and Management (10N),,
DUZ,Designated User,,
DVA,Dishonorable for VA Purposes,,
DVEIVR,DVEIVR,,
DVT,Deep Vein Thrombosis,,
DX,Diagnosis or disease,,
E&E,Health Care Applications(HCA) Enrollment & Eligibility,,
E3R,"Electronic, Error and Enhancement Report",,
EAA,Employment Adjustment Allowance,,
EAC,Enterprise Architecture Council,,
EAC,Estimate At Completion,,
EA,Enterprise Architecture,,
EAJA,Equal Access to Justice Act,,
EAM,Enterprise Asset Management,,
EAP,Employee Assistance Program,,
EAS,Employee Accountability System,,
EAS,Environmental Agents System,,
EAS,External Assessment Services,,
EASR,Enterprise Architecture Segment Report,,
EBAC,Entity-Based Access Control,,
EBB,Executive Briefing Book,,
EBDI,Enterprise Business and Data Integration,,
EBE,Enterprise Backup with Encryption,,
EBERS,Enhanced Biomedical Engineering Resource Survey,,
EB,Executive Board,,
EBF,Entity Business Function,,
EBN,eBenefits,,
EBP,Evidence-Based Psychotherapy,,
EBRI,Employee Benefit Research Institute,,
EBS,Enterprise Business Strategies,,
EBUS,Endobronchial Ultrasound,,
ECAP,Enrollment Certification Automated Processing,,
ECAR,Electronic Computer Access Request,,
ECAT,Electronic Catalog,,
EC CCB,Emergency Care Change Control Board,,
ECC,Ethics Consultation Coordinator,,
ECCF,Enterprise Conformance and Compliance Framework,,
ECCO,Essentials of Critical Care Orientation,,
EC,Electronic Commerce,,
EC,Emerging Care,,
EC,Ethics Consultation,,
EC,Event Capture,,
ECFCDP,Executive Career Field Career Development Program,,
ECF,Executive Career Field,,
ECF,Extended Care Facility,,
ECFT,Electronic Case File Transfer,,
ECG,Electrocardiogram,,
ECHO,Echocardiogram,,
ECM,Education Case Manager,,
eCME,Electronic Claims Management Engine,,
ECM,Energy Conservation Measures,,
ECM,Essentials of Clinical Medicine,,
ECMO,Extracorporeal Membrane Oxygenation,,
ECMS,Electronic Contract Management System,,
ECMS,Enterprise Content Management System,,
ECOG,ECOG Performance Status,,
EC PAT,Ethics Consultation Proficiency Assessment Tool,,
ECP,Engineering Change Proposals,,
ECQAC,Extended Care Quality Assurance Committee,,
ECR,Executive Conference Room,,
ECRUD,Enterprise Create Read Update Delete,,
ECSBAP,Enterprise Cyber Security Business Assurance Program,,
ECS,Enterprise Class Storage,,
ECS,Enterprise Cybersecurity Strategy,,
ECS,Ethics Consultation Service,,
ECS,Event Capture System,,
ECSIP,Enterprise Cyber Security Infrastructure Project,,
ECSO,Enterprise Cloud Solutions Office,,
ECSS,Education Compliance Survey Specialist,,
ECST,Enterprise Cybersecurity Strategy Team,,
ECT,Electroconvulsive Therapy,,
ECTM,Executive Chief Technology Manager,,
EDAS,Enterprise Data Architecture Services,,
EDB,Enrollment Database,,
EDD,Electronic Data Dictionary,,
EDE,Enterprise Development Environment,,
ED,Emergency Department,,
EDI,Electronic Data Interchange,,
EDIFACT,"Electronic Data Interchange Fir Administration, Commerce, and Transport",,
EDI/MRA,Electronic Data Interchange/Medical Reform Act,,
EDI/MRA,Electronic Data Interchange/Medicare Remittance Advice,,
EDIPI,(DoD's) Electronic Data Interchange Personal Identifier,,
EDI PN ID,Electronic Data Interface Person Identifier (DoD term),,
EDI_PN_IDS,electronic data interface person identifiers,,
EDIS,Emergency Department Information System,,
EDM,Executive Decision Memorandum,,
EDMS,Electronic Data Management System,,
EDO,Emergency Detention Order,,
EDP,Electronic Data Processing,,
EDR,Education(al) Data Repository,,
EDR,Event Driven Reporting,,
EDRP,Education Debt Reduction Program,,
EDRP,Exercise Disaster Recovery Plan,,
EDS,Electronic Data Systems,,
EDSS,Expanded Disability Status Scales,,
ED&T,Employee Development and Training,,
EDW,Enterprise Data Warehouse,,
EE,External Environment,,
EE,Health Care Applications(HCA) Enrollment & Eligibility,,
EEG,Electroencephalogram,,
EELS,Enterprise Exception Log Service,VA internal software,
EEOB,Electronic Explanation Of Benefits,,
EEOC,Equal Employment Opportunity Commission,,
EEO,Equal Employment Opportunity,,
EES,Employee Education System,,
EEU,Enterprise Exchange Upgrade,,
EFAV,Enhanced Failsoft Access for VISTA,,
EFDA,Expanded Function Dental Auxiliaries,,
EF,ejection fraction,,
E&F,Enrollment and Forecasting,,
EFFECT,"ER Frequent Flyer; Education, Coordination & Timely Treatment",,
EFT,Electronic Funds Transfer,,
EGT,Enrollment Group Threshold,,
EGUI,electronic Graphical User Interface,,
EHBD,Enterprise Health Benefits Determination,,
EHCPM,Enrollee Health Care Projection Model,,
EHISN,eHealth Information Support Network,,
EHMP,Enterprise Health Management Platform,,a mashup of JLV and CPRS
EHPDP,Employee Health Promotion Disease Prevention,,
EHRA,Electronic Health Record Architecture,,
EHR,Electronic Health Record,,
EHRI,Electronic Health Records Interoperability,,
EHRI,Enterprise Human Resources Integration,,
EHRP,Electronic Health Records Plan,,
EHR-S,Electronic Health Record System,,
EHRS-FM,Electronic Health Record System – Functional Model,,
EHRWA,Electronic Health Record Way Ahead,,
EHRWG,Electronic Health Record Working Group,,
EHTAC,Emerging Health Technology Advancement Center,,
EHT,Emerging Health Technologies,,
EHX,eHealth Exchange,,
EIB,Enterprise Information Board,,
EIC,Electronic Information Carrier,,
EIC,Executive in Charge,,
EIE,Enterprise Infrastructure Engineering (See ESE as of 12/10),,
EIL,Equipment Inventory Listing,,
EIN,Employer Identification Number,,
EISA,Extended Industry Standard Architecture,,
EIS,Executive Information Systems,,
EISWG,Enterprise Information Systems Work Groups,,
E&IT,Electronic & Information Technology,,
EIV,Electronic Insurance Verification,,
EJB,Enterprise JavaBean,,
EKG,Electrocardiogram,,
ELB,Executive Leadership Briefing,,
ELC,Ethical Leadership Coordinator,,
ELC,Executive Leadership Conference,,
EL,Ethical Leadership,,
ELISA,Enzyme Linked Immunosorbent Assays,,
ELMS,Equipment Lease Management Service,,
ELNEC,End-of-Life Nursing Education Consortium,,
ELR,Education Liaison Representatives,,
ELT,Executive Leadership Team,,
EMC,Enterprise Management Committee,,
EMC,Enterprise Management Concept,,
E&M CODES,Evaluation and Management Codes,,
EMDR,Eye Movement Desensitization and Reprocessing,,
EME,Electronic Medical Evidence,,
E/M,evaluation and management,,
EMFSO,Engineering Management and Field Support Office,,
EMG,Electromyography,,
EMI,Electromagnetic Interference,,
EMI,Enterprise Messaging Infrastructure,,
eMI,Enterprise Messaging Infrastructure,VistA (more?),
eMIS, Enterprise Military Information Service,,
EMME,Engineering Acquisition Materiel Management & Equipment,,
EMM,Enterprise Mobility Management,,
EMPB,Emergency Mobilization Preparedness Board,,
EMPI,Enterprise Master Patient Index,,
EMRA,Electronic Medicare Remittance Advice - ANSI X12 835,,
EMR,Electronic Medical Record,,
EMRSS,Emergency Management and Resource Sharing Service,,
EMS,Emergency Medical Services,,
EMS,Environmental Management Service,,
EMS,Exam Management System,,
EMSHG,Emergency Management Strategic Healthcare Group,,
EMT,Executive Management Team,,
ENT,Ear Nose & Throat,,
ENTSR,Enterprise Service Request Schema,,
EOAM,End of Accounting Month,,
EOAS,Eligibility Office Automation System,,
EOB,Explanation of Benefits,,
EOC,Emergency Operations Center,,
EOC,Environment of Care,,
EOC,Episode of Care,,
EOD,Entered On Duty,,
EO,Enterprise Operations,,
EO,Executive Order,,
EOFD,Enterprise Operations and Field Development,,
EOL,end of life,,
EOM,End of Month,,
eOPF,electronic Official Personnel Folder,,
EOS,End of Service,,
EPA,Environmental Protection Agency,,
EPAS,Electronic Permission Access System,,
EPCS,Electronic Prescriptions for Controlled Substances,,
EP,End Product,,
EP,Expert Panel,,
EPG,Enterprise Process Group,,
EPHI,electronic Personal Health Information,,
EPHRA,EOB Payment Healthcare Remittance Advice,,
EPIC,Electronic Privacy Information Center,,
EPI,Emerging Pathogens Initiative,,
EPIP,Existing Product Intake Program,,
EPIR,Electronic Performance Improvement Record,,
EPM,Electronic Performance Measurement,,
EPM,Enterprise Project Management,,
EPMO,"Office of Policy & Planning, Enterprise Program Management Office",,
EPMS,Enterprise Project Management Software,,
EPP,Enterprise Privacy Program,,
EPR,Electronic Patient Record,,
ePrescribing,Electronic prescriptions,,
EPRI,Electronic Patient Record Interface,,
EPRP,External Peer Review Program,,
EPS,Enterprise Product Support,,
EPS,Enterprise Project Structure,,
EPTS,Existing Prior To Service,,
EQ,emotional intelligence quotient,,
E-QIP,Electronic Questionnaires for Investigations Processing,,
ER7,Encoding Rules Seven,,
ERA,Electronic Remittance Advice,,
ERANGE,Enhance Rural Access Network for Growth Enhancement,,
ERCP,Endoscopic Retrograde Cholangiopancreatography,,
ER,Electronic Record,,
ER,Emergency Room or Emergency Department,,
E/R,Entity Relationship,,
ERF,Enterprise Systems Engineering (ESE) Request Form,,
ERM,Enterprise Risk Management,OI&T,
ERMIS,External Review Management Information System,,
ERRA,Examination Request Routing Assistant,,
ERT,Enterprise Reference Terminology,,
ERX,Electronic Prescription,,
ESA,Enterprise Systems Architecture,,
ESB,Enterprise Service Bus,,
ESCCB,Enterprise Security Change Control Board,,
ESCIP,Enterprise Cyber Security Infrastructure Project,,
ESDD,Enterprise Solution Design Document,,
ESECC,Enterprise Security External Change Council,,
ESE,Enterprise Systems Engineering,Group within VA,
ES,Enrollment System,,
ES,Enterprise Strategy,,
ESG,Environmental Support Group,,
ESLD,End Stage Liver Disease,,
ESMC,Enterprise System Management Committee,,
ESM,Enterprise System Manager,,
ESM,Enterprise Systems Management,,
ESPD,Electronic Support for Patient Decisions,,
ESRD,End Stage Renal Disease,,
ESR,Enrollment System Redesign,,
ESSENCE,Electric Surveillance System for the Early Notification of Community-based Epidemics,,
ESS,Enterprise Support Solution,,
ESSS,VA Enterprise Security Solution Service,,
EST,Eastern Standard Time,,
EST,Enterprise System Testing,,
ETA,Edifecs Transaction Management/Analysis Tool,,
ETA,Enhanced Time and Attendance System,,
ETA,Enterprise Technical Architecture,,
ETA,Estimated Time of Arrival,,
ETC,Education and Training Center (for engineering and construction management),,
ETC,Engineering Training Centers,,
ETC,Estimate To Completion,,
ETCS,Electronic Transactions and Code Sets,,
ETL,"Extract, Transform, Load",,
ETMR,Electronic Theater Medical Record,,
ETOH,"Ethanol, also called ethyl alcohol, pure alcohol, grain alcohol, or drinking alcohol",,
ETR,Estimated Time of Restoration,,
ETS,End Time in Service,,
ETS,Enterprise Tactical Support,,
ETS,Enterprise Terminology Services,,
ETS,Enterprise Testing Service,,
EUD,External Urinary Device,,
EUL,Enhanced Use Lease,,
EUROREC,European Institute for Health Records,,
EVA,Electronic VA,,
EVEAH,Enhance the Veteran Experience and Access to Healthcare,,
EV,Earned Value,,
EVH,Eliminate Veterans Homlessness,,
EVMS,Earned Value Management System,,
EVN,Enterprise Video Network,,
eVPR,Enterprise Virtual Patient Record,,
EVR,Eligibility Verification Report,,
EVS,Enterprise VistA Support,,
EVSS,Electronic Veterans Self Service,,
EVSS,Enterprise Veterans Self Service Portal Platform,,
EVTN,Enterprise Video Teleconferencing Network,,
EWIS,Enterprise Web Infrastructure Support,,
EWL,Electronic Wait List,,
EXP,"Expiratory, as in lung sound assessment",,
EXS,Exchange Server Support,,
F2F,Face-to-Face Meeting,,
FAADS,Federal Assistance Award Database System,,
FAB,Field Advisory Board,,
FACA,Federal Advisory Committee Act,,
FAC-C,Federal Acquisition Certification in Contracting,,
FACCT,Foundation for Accountability,,
FACHE,Fellow in American College of Healthcare Executives,,
FAC-P/PM,Federal Acquisition Certification Program/Project Management,,
FA,forearm,,
FAIN,Federal Award Identifier Number,,
FAM,Financial Audit Manual,,
FAPA,Fellow in the American Psychiatric Association,,
FAP,Fixed Asset Subsystem,,
FAP,Full Account Profile,,
FAQ,Frequently Asked Questions,,
FARC,Federal Archives and Records Centers,,
FAR,Federal Acquisition Regulation,procurement,
FASAB,Federal Accounting Standards Advisory Board,,
FASA,Federal Acquisition Streamlining Act,,
FAS,Finance and Accounting System,,
FAS,Fiscal Accounting Services,,
FATKAAT,Fat-Client Kernel Authentication & Authorization Tool,,
FATO,Final Authority to Operate,,
FBCS,Fee Basis Claim System,,
FBG,fasting blood glucose,,
FBI,Federal Bureau of Investigation,,
FBS,Fiduciary-Beneficiary System,,
FCA,Facility Condition Assessment,,
FCC,Federal Communications Commission,,
FCC,Federal Coordinating Center,,
FCDM,Financial and Clinical Data,,
FC,Finance Center,,
FCG,First Consulting Group,,
FCG,Functional Capabilities Group,,
FCIO,Facility Chief information Officer,,
FCIP,Federal Career Intern Program,,
FCMT,Federal Case Management Tool,,
FCP,Federal Credentialing Program,,
FCP,Fund Control Point,,
FCRA,Fair Credit Reporting Act,,
F/C/S,Fever Chills Sweats,,
FCW,Federal Computer Week,,
FDA,Food and Drug Administration,,
FDB,First Data Bank,,
FDCC,Federal Desktop Core Configuration,,
FDCCI,Federal Data Center Consolidation Initiative,,
FDC,Fully Developed Claim,claims processing,
FDDI,Fiber Distributed Data Interface,,
FD,Fill Date,,
FDP,Facility Development Plan,,
FDS,Field Developed Software,,
FEA,Federal Enterprise Architecture,,
FECA,Federal Employees' Compensation Act,,
FEDRAMP,Federal Risk and Authorization Management Program (FedRAMP),,
FEDSIM,Federal Systems Integration and Management Center,,
FEDSMR,"Office of Operations, Security and Preparedness",,
FED-STD,Federal Standard,,
FE,Field Examiner,,
FEMA,Federal Emergency Management Agency,,
FEPAC,"Facility Engineering, Planning and Construction Office",,
FERCCA,Federal Erroneous Retirement Coverage Corrections Act,,
FERET,Formal Event Review and Evaluation Tool,,
FERS,Federal Employee Retirement System,,
FFATA,Federal Funding Accountability and Transparency,,
FFB,Franchise Fee Board,,
FFMIA,Federal Financial Management Improvement Act,,
FFP,Firm-Fixed-Price,,
FFP,Fugitive Felon Program,,
FFRDC,Federally Funded Research and Development Center,,
FHA,Federal Health Architecture,,
FHA,Federal Housing Acdministration,,
FHCC,Federal Health Care Center,,
FHCRS,Federal Health Care Resources Sharing (database),,
FHIE,Federal Health Information Exchange (formerly GCPR),,
FHIL,Federal Health Informatics Leadership,,
FHIL,Field Health Informatics Leadership,,
FHIM,Federal Health Information Model,,
FHIR,Fast Healthcare Interoperability Resources,,
FICAM,"Federal Identity, Credential, and Access Management ",,
FICWG,Federal Internal Control Working Group,,
FI,Fiscal Intermediary,,
FIM,Functional Independence Measure,,
FIP,Federal Information Processing,,
FIPS,Fair Information Practices,,
FIPS,Federal Information Processing Standard,,
FIRMAC,Field Information Resources Management Advisory Council,,
FIRMR,Federal Information Resources Management Regulations,,
FIRP,Federal Individualized Recovery Plan,,
FIRST,Forum of Incident Response and Security Teams,,
FIRSWG,Federal Information Resources Sharing Work Group,,
FISCAM,Federal Information System Controls Audit Manual,,
FIS,Field Implementation Services,,
FISI,Facility Infrastructure Standards and Improvement,,
FISMA,Federal Information Security Management Act (2002),,
FISMA,Federal Information Security Modernization Act (2014),,
FISO,Facility Information Security Officer,,
FIST,Federal Information Sharing Technologies,,
FIT,Financial Innovation and Transformation,,
FITSAF,Federal IT Security Assessment Framework,,
FIX,Flow Improvement Inpatient Initiative,,
FL,FAST LETTER,,
FLITE,Financial and Logistics Integrated Technology Enterprise,,
FLM,Front Line Manager,,
FLOPS,Floating Point Operations Per Second,,
FLP,fasting lipid profile,,
FLTCI,Federal Long Term Care Insurance,,
FLTCIP,Federal Long Term Care Insurance Program,,
FMFIA,Federal Managers Financial Integrity Act,,
FM,Functional Model,,
FMLA,Family and Medical Leave Act of 1993,,
FMOSC,Financial Management Oversight Steering Committee,,
FMS,Facility Management Support,,
FMS,Fecal Management System,,
FMS,Financial Management System,,
FNOD,First Notice of Death,,
FOB,Fiberoptic Bronchoscopy,,
FOBT,fecal occlult blood test,,
FOCAS,"Education - Flight, On-the-Job Training, Correspondence, and Apprencticeship System",,
FOC,Final Operating Capability,,
FOC,Full Operating Capability,,
FOD,Field Operations and Development,,
FOEs,Fiscal Notice of Expectations,,
FO,Field Operations,,
FOH,Federal Occupational Health,,
FOIA,Freedom of Information Act,,
FOI,Field Office of Investigation,,
FOLA,Fact of Life Adjustment,,
FOR,Foundations of Recovery,,
FORUM,Not an acronym. The national electronic information (e-mail) system,,
FOS,Financial Operations Services,,
FOSIM,Family of Services Initiative Management,,
FOUO,For Official Use Only,,
FPC,Function Point Count,,
FPDS,Federal Procurement Data System,,
FPE,Family Psychoeducation,,
FP,Fixed Price,,
FP,Function Point,,
FPIAR,Financial Policy Improvement and Audit Readiness,,
FPIF,FIXED PRICE INCENTIVE FEE,,
FPLOE,Fixed Price Level of Effort,,
FPMR,Federal Property Management Regulations,,
FPO,Fleet Post Office,,
FPOV,Fee Purpose of Visit,,
FPOW,Former Prisoner of War,,
FPPE,FOCUSED PROFESSIONAL PRACTICE EVALUATION,,
FPPS,Fee Basis Payment Processing System,,
FPS,File and Print Services,,
FQAM,Financial Quality Assurance Manager,,
FQHC,Federally Qualified Health Centers,,
FRC,Federal Recovery Coordinator,,
FRCP,Federal Recovery Coordination Program,,
FRD,Financial Review Division,,
FRD,Functional Requirements Document,,
FR,french,,
FRI,Friday,,
FRM,Financial Resources Manager,,
FRS,Financial Reports System,,
FRTIB,Federal Retirement Thrift Investment Board,,
FSA-DC,Flexible Spending Account-Dependent Care,,
FSAG,Financial System Advisory Group,,
FSA-HC,Flexible Spending Account-Healthcare,,
FSAM,Federal Segment Architecture Methodology,,
FSC,Financial Services Center,,
FSD,Financial Services Division,,
FS,Finger Stick,,
FSFM,File Server File Management,,
FSMB,Federation of State Medical Boards,,
FSOD,Functional Status and Outcomes Database,,
FSO,Facility Sustainability Officers,,
FSP,Family Services Program,,
FSR,Financial Status Report - form 5655,,
FSS,Federal Supply Schedule,,
FSS,Field Security Service,,
FSSI OS,Federal Strategic Sourcing Initiative for Office Supplies,,
FST,Functional System Testing,,
FTA,Failure to appear,,
FTAM,"File Transfer, Access and Management",,
FTC,Facility Telehealth Coordinator,,
FTD,Fort Thomas Domicillary,,
FTEE,Full-time Employee Equivalent,,
FTE,Full-time Equivalent,,
FTNGD-OS,Full-Time National Guard Duty for Operational Support,,
FTP,File Transfer Protocol,,
FTR,Failed To Report,,
FTS,Folder Tracking System,,
F/U,follow up,,
FUO,Fever of Unknown Origin,,
FWIW,For what it's worth,,
FWS,Federal Wage System,,
FWW,Front Wheeled Walker,,
FX,Fracture,,
FYA,For your action,,
FY,Fiscal Year,,
FYSA,For Your Situational Awareness,,
FYTD,Fiscal Year to Date,,
G2B,Government to Business,,
G2C,Government to Consumer,,
G2G,Government to Government,,
GAD,General Anxiety Disorder,,
GAF,Global Assessment of Function (score),,
GAGAS,Generally Accepted Government Accounting Standards,,
G&A,General and Administrative,,
GAL,Global Address List,,
GAO,General Accounting Office (used BEFORE 7/04),,
GAO,Government Accountability Office (Updated 7/04),,
GAP,Generate and Process,claims processing,
GAPS CENTER,Getting at Patient Safety (GAPS) Center,,
GBC,Government Business Council,,
GBL,Government Bill of Lading,,
GC,General Counsel,,
GCID,Get Corresponding IDs,,
GCPR or G-CPR,Government-Computer-based Patient Record (See FHIE),,
GCS,Glascow Coma Scale,,
GCS,Government Consulting Services,,
GDIT,General Dynamics Information Technology,,
GDX,Graphical Distribution of VA eXpenditures,,
GEC,Geriatrics and Extended Care,,
GED,General Eligibility Determination,,
GEHA,Government Employees Health Association,,
GEHR,Good Electronic Health Record,,
GEM,Geriatric Evaluation and Management,,
GEMS,Green Environmental Management System,,
GERD,gastroesophageal reflux disease,,
GETS,Government Emergency Telecommunications Service,,
GEU,Geriatric Evaluation Unit,,
GFE/GFI,Government Furnished Equipment/Information,,
GFE,Government Furnished Equipment,,
GFI,Government Furnished Information,,
GGAC,Geriatrics and Gerontology Advisory Committee,,
G,Gauge,,
GHATP,Graduate Healthcare Administration Training Program,,
GHELP,Geriatric High Risk Evaluation and Liaison Program,,
GIAT,Government Installation Acceptance Test,,
GIF,Graphics Interchange Format,,
GI,Gastrointestinal,,
GIGO,garbage in garbage out,,
GI,Government Issue,,
GILS,Government Information Locator System,,
GIP,Generic Inventory Package,,
GIPSE,Geocoded Interoperable Population Summary Exchange,,
GIS,Generic Interface System,,
GIS,Geographic Information System,,
GISRA,Government Information Security Reform Act,,
GITSS,Global Information Technology Support Services,,
G&L,Gains & Losses,,
GLIF,GuideLine Interchange Format,,
GLU,Glucose or glucose check,,
GMDN,Global Medical Device Nomenclature,,
GME,Graduate Medical Education,,
GM,gluteus maximus,,
GM,gram,,
GMI,General Mental Illness,,
GMR,General Medical Record,,
GMT,Geographic Means Test,,
GOE,General Operating Expenses,,
GOE,Government Operating Expenses,,color of money
GOHR,Good Electronic Health Record,,
GORP,GERIATRIC ONGOING READINESS PROGRAM,,
GOSIP,Government Open Systems Interconnection Profile,,
GOT,Government-Off-The-Shelf,,
GOTS,Government Off-The-Shelf,,
GOTS,Government Off-the-Shelf (applications),,
GOV,Government Owned Vehicle,,
GPD,Grant and Per Diem,,
GPDP,Grant and Per Diem Program,,
GPEA,Government Paperwork Elimination Act,,
GP,Government Property,,
GPL,General Public License,,
GPM,Group Practice Management,,
GPMRC,Global Patient Movement Requirements Center,,
GPO,Geographic Provider Organization,,
GPO,Government Printing Office,,
GPRA,Government Performance & Results Act,,
GPRAMA,Government Performance and Results Act Modernization Act of 2010,,
GPS,Global Positioning System,,
GRC,"Governance, Risk and Compliance ",,
GRECC,"Geriatric Research, Education and Clinical Center",,
GRM,Government Reference Information Model,,
GSA,General Services Administration,,
GSBCA,General Services Board of Contract Appeals,,
GSF,Gross Square Feet,,
G-SIG,Government Special Interest Group,,
GSS,General Support System,,
GTN,Gross to Net,,
GUDI,Global Unique Device Identification,,
GU,Genitourinary,,
GUI,Graphical User Interface,,
GWAC,Government Wide Area Contract,,
GWN,Gateway North,,
GWN,GetWellNetwork,,
GWOT,Global War On Terrorism (see Overseas Contingency Operation),,
HAC,Health Administration Center,,
HAC,Housekeeping Aide Closet,,
HA,heache,,
HAIG,Health Architecture Interagency Group,,
HAIG,Healthcare Analysis and Information Group,,
